----------------------------------------
Begin PBS Prologue Wed Nov 23 20:38:16 EST 2016 1479951496
Job ID:		73352363.gm-1r16-n04.guillimin.clumeq.ca
Username:	akashi
Group:		rck-371-01
Nodes:		sw-4r02-n11
End PBS Prologue Wed Nov 23 20:38:17 EST 2016 1479951497
----------------------------------------
Unsteady: 10000 1 0 0 vanleer 0.2 0.2 1
Euler1d: Using Van Leer numerical flux.
Euler1d: No slope reconstruction to be used.
MUSCLReconstruction: Using Van Albada limiter
Euler1d: Using MUSCL face reconstruction.
Euler1dExplicit: Using 1-stage TVD RK scheme; loaded coefficients.
Euler1dExplicit: run(): Step 1000 - Time = 0.00101982
Euler1dExplicit: run(): Step 1010 - Time = 0.00101982
Euler1dExplicit: run(): Step 1020 - Time = 0.00101982
Euler1dExplicit: run(): Step 1030 - Time = 0.00101982
Euler1dExplicit: run(): Step 1040 - Time = 0.00101982
Euler1dExplicit: run(): Step 1050 - Time = 0.00101982
Euler1dExplicit: run(): Step 1060 - Time = 0.00101982
Euler1dExplicit: run(): Step 1070 - Time = 0.00101982
Euler1dExplicit: run(): Step 1080 - Time = 0.00101982
Euler1dExplicit: run(): Step 1090 - Time = 0.00101982
Euler1dExplicit: run(): Step 1100 - Time = 0.00101982
Euler1dExplicit: run(): Step 1110 - Time = 0.00101982
Euler1dExplicit: run(): Step 1120 - Time = 0.00101982
Euler1dExplicit: run(): Step 1130 - Time = 0.00101982
Euler1dExplicit: run(): Step 1140 - Time = 0.00101982
Euler1dExplicit: run(): Step 1150 - Time = 0.00101982
Euler1dExplicit: run(): Step 1160 - Time = 0.00101982
Euler1dExplicit: run(): Step 1170 - Time = 0.00101982
Euler1dExplicit: run(): Step 1180 - Time = 0.00101982
Euler1dExplicit: run(): Step 1190 - Time = 0.00101982
Euler1dExplicit: run(): Step 1200 - Time = 0.00101982
Euler1dExplicit: run(): Step 1210 - Time = 0.00101982
Euler1dExplicit: run(): Step 1220 - Time = 0.00101982
Euler1dExplicit: run(): Step 1230 - Time = 0.00101982
Euler1dExplicit: run(): Step 1240 - Time = 0.00101982
Euler1dExplicit: run(): Step 1250 - Time = 0.00101982
Euler1dExplicit: run(): Step 1260 - Time = 0.00101982
Euler1dExplicit: run(): Step 1270 - Time = 0.00101982
Euler1dExplicit: run(): Step 1280 - Time = 0.00101982
Euler1dExplicit: run(): Step 1290 - Time = 0.00101982
Euler1dExplicit: run(): Step 1300 - Time = 0.00101982
Euler1dExplicit: run(): Step 1310 - Time = 0.00101982
Euler1dExplicit: run(): Step 1320 - Time = 0.00101982
Euler1dExplicit: run(): Step 1330 - Time = 0.00101982
Euler1dExplicit: run(): Step 1340 - Time = 0.00101982
Euler1dExplicit: run(): Step 1350 - Time = 0.00101982
Euler1dExplicit: run(): Step 1360 - Time = 0.00101982
Euler1dExplicit: run(): Step 1370 - Time = 0.00101982
Euler1dExplicit: run(): Step 1380 - Time = 0.00101982
Euler1dExplicit: run(): Step 1390 - Time = 0.00101982
Euler1dExplicit: run(): Step 1400 - Time = 0.00101982
Euler1dExplicit: run(): Step 1410 - Time = 0.00101982
Euler1dExplicit: run(): Step 1420 - Time = 0.00101982
Euler1dExplicit: run(): Step 1430 - Time = 0.00101982
Euler1dExplicit: run(): Step 1440 - Time = 0.00101982
Euler1dExplicit: run(): Step 1450 - Time = 0.00101982
Euler1dExplicit: run(): Step 1460 - Time = 0.00101982
Euler1dExplicit: run(): Step 1470 - Time = 0.00101982
Euler1dExplicit: run(): Step 1480 - Time = 0.00101982
Euler1dExplicit: run(): Step 1490 - Time = 0.00101982
Euler1dExplicit: run(): Step 1500 - Time = 0.00101982
Euler1dExplicit: run(): Step 1510 - Time = 0.00101982
Euler1dExplicit: run(): Step 1520 - Time = 0.00101982
Euler1dExplicit: run(): Step 1530 - Time = 0.00101982
Euler1dExplicit: run(): Step 1540 - Time = 0.00101982
Euler1dExplicit: run(): Step 1550 - Time = 0.00101982
Euler1dExplicit: run(): Step 1560 - Time = 0.00101982
Euler1dExplicit: run(): Step 1570 - Time = 0.00101982
Euler1dExplicit: run(): Step 1580 - Time = 0.00101982
Euler1dExplicit: run(): Step 1590 - Time = 0.00101982
Euler1dExplicit: run(): Step 1600 - Time = 0.00101982
Euler1dExplicit: run(): Step 1610 - Time = 0.00101982
Euler1dExplicit: run(): Step 1620 - Time = 0.00101982
Euler1dExplicit: run(): Step 1630 - Time = 0.00101982
Euler1dExplicit: run(): Step 1640 - Time = 0.00101982
Euler1dExplicit: run(): Step 1650 - Time = 0.00101982
Euler1dExplicit: run(): Step 1660 - Time = 0.00101982
Euler1dExplicit: run(): Step 1670 - Time = 0.00101982
Euler1dExplicit: run(): Step 1680 - Time = 0.00101982
Euler1dExplicit: run(): Step 1690 - Time = 0.00101982
Euler1dExplicit: run(): Step 1700 - Time = 0.00101982
Euler1dExplicit: run(): Step 1710 - Time = 0.00101982
Euler1dExplicit: run(): Step 1720 - Time = 0.00101982
Euler1dExplicit: run(): Step 1730 - Time = 0.00101982
Euler1dExplicit: run(): Step 1740 - Time = 0.00101982
Euler1dExplicit: run(): Step 1750 - Time = 0.00101982
Euler1dExplicit: run(): Step 1760 - Time = 0.00101982
Euler1dExplicit: run(): Step 1770 - Time = 0.00101982
Euler1dExplicit: run(): Step 1780 - Time = 0.00101982
Euler1dExplicit: run(): Step 1790 - Time = 0.00101982
Euler1dExplicit: run(): Step 1800 - Time = 0.00101982
Euler1dExplicit: run(): Step 1810 - Time = 0.00101982
Euler1dExplicit: run(): Step 1820 - Time = 0.00101982
Euler1dExplicit: run(): Step 1830 - Time = 0.00101982
Euler1dExplicit: run(): Step 1840 - Time = 0.00101982
Euler1dExplicit: run(): Step 1850 - Time = 0.00101982
Euler1dExplicit: run(): Step 1860 - Time = 0.00101982
Euler1dExplicit: run(): Step 1870 - Time = 0.00101982
Euler1dExplicit: run(): Step 1880 - Time = 0.00101982
Euler1dExplicit: run(): Step 1890 - Time = 0.00101982
Euler1dExplicit: run(): Step 1900 - Time = 0.00101982
Euler1dExplicit: run(): Step 1910 - Time = 0.00101982
Euler1dExplicit: run(): Step 1920 - Time = 0.00101982
Euler1dExplicit: run(): Step 1930 - Time = 0.00101982
Euler1dExplicit: run(): Step 1940 - Time = 0.00101982
Euler1dExplicit: run(): Step 1950 - Time = 0.00101982
Euler1dExplicit: run(): Step 1960 - Time = 0.00101982
Euler1dExplicit: run(): Step 1970 - Time = 0.00101982
Euler1dExplicit: run(): Step 1980 - Time = 0.00101982
Euler1dExplicit: run(): Step 1990 - Time = 0.00101982
Euler1dExplicit: run(): Step 2000 - Time = 0.00101982
Euler1dExplicit: run(): Step 2010 - Time = 0.00101982
Euler1dExplicit: run(): Step 2020 - Time = 0.00101982
Euler1dExplicit: run(): Step 2030 - Time = 0.00101982
Euler1dExplicit: run(): Step 2040 - Time = 0.00101982
Euler1dExplicit: run(): Step 2050 - Time = 0.00101982
Euler1dExplicit: run(): Step 2060 - Time = 0.00101982
Euler1dExplicit: run(): Step 2070 - Time = 0.00101982
Euler1dExplicit: run(): Step 2080 - Time = 0.00101982
Euler1dExplicit: run(): Step 2090 - Time = 0.00101982
